motorcycle_count,car_count,stopped_vehicles,pcu_load,average_speed,label
3,0,3,0.8999999999999999,0.06666666666666667,2
3,0,3,0.8999999999999999,0.13333333333333333,2
3,0,3,0.8999999999999999,0.16094757082487302,2
3,0,3,0.8999999999999999,0.09428090415820634,2
3,0,3,0.8999999999999999,0.06666666666666667,2
3,0,3,0.8999999999999999,0.2824045318333193,2
3,0,3,0.8999999999999999,0.06666666666666667,2
3,0,3,0.8999999999999999,0.13333333333333333,2
3,0,3,0.8999999999999999,0.13333333333333333,2
4,0,3,1.2,0.6020797289396148,2
4,0,3,1.2,1.0547511554864495,2
4,0,3,1.2,1.2259593368457948,2
4,0,3,1.2,0.9131338250816035,2
4,0,3,1.2,0.7964194138592059,2
4,0,3,1.2,0.6726812023536854,2
3,0,3,0.8999999999999999,0.09428090415820634,2
3,0,3,0.8999999999999999,0.2157378651666527,2
3,0,3,0.8999999999999999,0.3376330068163987,2
3,0,3,0.8999999999999999,0.26666666666666666,2
3,0,3,0.8999999999999999,0.06666666666666667,2
3,0,3,0.8999999999999999,0.06666666666666667,2
3,0,3,0.8999999999999999,0.0,2
3,0,3,0.8999999999999999,0.09428090415820634,2
3,0,3,0.8999999999999999,0.2552284749830793,2
3,0,3,0.8999999999999999,0.20000000000000004,2
3,0,3,0.8999999999999999,0.21081851067789195,2
3,0,3,0.8999999999999999,0.4314757303333053,2
3,0,0,0.8999999999999999,1.6249620627638433,1
3,0,1,0.8999999999999999,1.5633388993464,2
1,0,0,0.3,1.4560219778561037,1
1,0,0,0.3,1.4560219778561037,1
